Articulo,Descripcion,"Lista IMP.
U$S DÓLAR","Lista NAC.
$ PESOS",
1001/01320-022,MARCADORES VARIOS COLORES PINTURA NEUMATICOS x 8u. NSU,9.58,0.00,
1001/01520-566,PORTAPAQUETE P/TAPA BAUL UNIV. INCLUYE TENSOR ELAS VC,0.00,8474.19,
1001/01600-138,KIT ACOPLES RAPIDOS 1/4 MAQUINAS NEUMATICAS x6u .,14.32,0.00,
1001/02490-566,PRECINTOS PLASTICOS 3MM x 150MM (x100U.) VC,0.00,6019.03,
1001/02500-566,PRECINTOS PLASTICOS 4MM x 200MM (x100U.) VC,0.00,7916.33,
1001/02520-566,PRECINTOS PLASTICOS 4.8MM x 300MM (x100U.) VC,0.00,16258.23,
1001/02550-566,PRECINTOS REUTILIZABLES 8MM x 200MM (x100UNID.) VC,0.00,17885.75,
1001/10225-623,"ALARMA MOTO C/ENCENDIDO A DISTANCIA,PANICO DZE",0.00,57089.30,
1001/13000-566,MASCARA NEOPRENE/POLAR VC,0.00,7205.29,
1001/13010-022,MASCARA TERMICA NEOPRENE C/CUELLO POLAR ROJA NSU,1.36,0.00,
1001/13010-128,MASCARA TERMICA NEOPRENE C/CUELLO POLAR ROJA .,1.33,0.00,
1001/13020-022,MASCARA TERMICA NEOPRENE C/CUELLO POLAR AZUL NSU,1.36,0.00,
1001/13020-128,MASCARA TERMICA NEOPRENE C/CUELLO POLAR AZUL .,1.33,0.00,
1001/13030-128,MASCARA TERMICA NEOPRENE C/CUELLO POLAR NEGRA .,2.25,0.00,
1001/40010-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE S NSU,7.85,0.00,
1001/40020-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE M NSU,7.85,0.00,
1001/40030-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE L NSU,7.85,0.00,
1001/40040-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE XL NSU,7.85,0.00,
1001/45000-151,FILM PROTECTOR ANTI LLUVIA PARA VISOR CASCO .,4.07,0.00,
1001/45010-151,FILM PROTECTOR ANTINIEBLA PARA VISOR CASCO .,4.07,0.00,
1001/50010-022,MUSLERA PARA MOTO BOLSO/RIÑONERA TACTICA M1 NSU,10.82,0.00,
1001/50020-022,MUSLERA PARA MOTO BOLSO/RIÑONERA TACTICA M2 NSU,10.82,0.00,
1001/60001-038,FAROL TRAS. LED PARA  CASCO NSU,6.17,0.00,
1002,ADITIVOS,,,
1002/00085-654,LUBRICANTE MULTIUSO x237ML/163G ARGOIL,0.00,3479.43,
1002/00180-156,SOLUCION PARA PARCHES 12ML x 12 UNIDADES NSU,3.33,0.00,
1002/00190-138,PARCHE (20 UNIDADES DIAM.40) .,1.06,0.00,
1002/00192-138,PARCHE (16 UNIDADES DIAM.50) .,1.14,0.00,
1002/00194-138,PARCHE (24 UNIDADES 50X30mm) .,1.05,0.00,
1002/00310-663,FORMADOR DE JUNTAS x50GR PIEZAS RECTIFICADAS 3518 LOCX,0.00,2353.70,
1005,ADITIVOS ACEITE 4T,,,
1005/02100-658,ACEITE PRIDE 4T SPECIAL 20W50  x 1 LITRO(MINERAL) GULF,0.00,5615.86,
1005/02102-630,ACEITE MOTO 4T 20W40 X 1LT YAMALUBE,0.00,7981.19,
1006,ADITIVOS LIQUIDO DE FRENO,,,
1006/00100-662,LIQUIDO PARA FRENOS DOT 3 x 100CC. IKE,0.00,2616.56,3
1006/00200-662,LIQUIDO PARA FRENOS DOT 3 x 200CC. IKE,0.00,4171.39,
1006/00300-662,LIQUIDO PARA FRENOS DOT 4 x 200CC. IKE,0.00,6899.56,
1007,ADITIVOS ACEITE SEMI SINT,,,
1007/01100-658,ACEITE POWER TRAC 4T 15W50 x 1 LITRO(SEMISINTETICO GULF,0.00,8631.48,
1007/01105-658,ACEITE POWER TRAC 4T 15W50 DOYPACK x 1 LITRO(SEMI GULF,0.00,8605.94,
1008,AEROSOL PINTURA,,,
1008/00100-654,PINTURA ALTA TEMPERATURA P/ESCAPESx163G/237MLNEGRO ARGOIL,0.00,5020.79,
1009,ADITIVOS ACEITE SINT,,,
1009/01100-658,ACEITE SYNTRAC 4T 10W 40 x 1 LITRO (SINTETICO) GULF,0.00,15324.77,
1014,ADITIVOS SILICONAS,,,
1014/00240-085,SILICONA x 240cm3 .,2.09,0.00,
1014/00400-085,SILICONA x 400 cm3 .,2.53,0.00,
1019,ADITIVOS LUBRIC CADENAS,,,
1019/06150-654,LUBRICANTE CADENA x 150G 237ML ARGOIL,0.00,3543.00,
1020,AMORTIGUA ALARGUE,,,
1020/00025-621,ALARGUE AMORTIGUADOR MONOSHOCK .,0.00,6151.02,
1021,AMORTIGUA  TRAS HIDRA STD,,,
1021/00048-022,AMORT. TRAS.HIDRAULICO HONDA C90 M/VIEJO NSU,25.68,0.00,
1021/00050-022,AMORT. TRAS.HIDRAULICO GILERA SMASH-BIZ TUNING NSU,11.21,0.00,
1021/00052-022,AMORT. TRAS.HIDRAULICO HONDA WAVE NSU,16.11,0.00,
1021/00055-532,AMORT. TRAS.HIDRAULICO REG. HONDACB250NIGHTHAWK FAR,0.00,27606.03,
1021/00057-022,AMORT. TRAS.HIDRAULICO REG. KAWASAKI NEO MAX NSU,12.20,0.00,
1021/00058-022,AMORT. TRAS.HIDRAULICO SUZUKI AX100 ROJO NSU,9.38,0.00,
1021/00152-532,AMORT. TRAS.HIDRAULICO HONDA CG 150 TITAN ESD FAR,0.00,24459.56,
1025,AMORTIGUA  TRAS MECA STD,,,
1025/00040-012,AMORT. TRAS.HIDRAULICO REG. HONDA CD 100 REGENT/TOUGH,9.42,0.00,
1025/00060-566,AMORT. TRAS. HONDA ELITE 50 VC,0.00,30599.45,
1033,AMORTIGUA MONOSHOCK,,,
1033/00047-532,AMORT. MONOSHOCK HONDA XLR125 FAR,0.00,71709.45,
1033/00048-532,AMORT. MONOSHOCK HONDA TWISTER 250 FAR,0.00,81092.00,
1033/00070-022,AMORT. MONOSHOCK MOTOMEL SKUA 150 NSU,58.01,0.00,
1033/00073-532,AMORT. MONOSHOCK MOTOMEL MOTARD FAR,0.00,74415.47,
1033/00075-532,AMORT. MONOSHOCK YAMAHA FZ16 FAR,0.00,188615.90,
1033/10130-532,AMORT. MONOSHOCK ZANELLA ZTT/ DAKAR200 FAR,0.00,113848.06,
1036,ANTIPARRAS,,,
1036/00060-070,ANTIPARRAS CHOPERA AZUL C/LENTE AZUL (7832) TERCOM,8.42,0.00,
1036/00100-070,ANTIPARRAS LAMINA CUBRE LENTE TEAROFF X 10 TERCOM,9.43,0.00,
1036/00180-081,ANTIPARRAS FUME SE1128 NSU,6.54,0.00,
1036/00190-022,ANTIPARRAS CROSS ATV NSU,4.74,0.00,
1037,ARBOLES  DE LEVAS,,,
1037/00006-038,ARBOL DE LEVAS BAJAJ PULSAR 135 NSU,8.19,0.00,
1037/00008-038,ARBOL DE LEVAS BAJAJ ROUSER 200/220 NSU,10.18,0.00,
1037/00010-022,ARBOL DE LEVAS HONDA BIZ/WAVE DESCOMPRESOR NSU,7.78,0.00,
1037/00010-038,ARBOL DE LEVAS HONDA BIZ/WAVE DESCOMPRESOR NSU,7.78,0.00,
1037/00011-038,ARBOL DE LEVAS HONDA BIZ 125 DESCOMPRESOR NSU,9.20,0.00,
1037/00013-038,ARBOL DE LEVAS HONDA WAVE 110S NSU,8.52,0.00,
1037/00014-038,ARBOL DE LEVAS HONDA CB150/200 NSU,11.35,0.00,
1037/00016-038,ARBOL DE LEVAS HONDA BIZ/WAVE SIN DESCOMPRESOR NSU,8.78,0.00,
1037/00018-038,ARBOL DE LEVAS HONDA CB150/250 S/BUJE NSU,9.88,0.00,
1037/00020-038,ARBOL DE LEVAS GILERA SMASH-HONDA C90 M/V NSU,5.18,0.00,
1037/00021-038,ARBOL DE LEVAS GILERA VC 200/NXR 150 BROSS NSU,9.30,0.00,
1037/00022-022,ARBOL DE LEVAS GIL.SMASH M/N/SEXY C/DESCOMP.LARGO NSU,6.16,0.00,
1037/00022-038,ARBOL DE LEVAS GIL.SMASH M/N/SEXY C/DESCOMP.LARGO NSU,6.16,0.00,
1037/00023-038,ARBOL DE LEVAS HONDA CBX 250 NSU,11.24,0.00,
1037/00024-077,ARBOL DE LEVAS GUERRERO GMX 150 NSU,9.01,0.00,
1037/00025-038,ARBOL DE LEVAS HONDA CG150 NSU,9.18,0.00,
1037/00026-022,ARBOL DE LEVAS HONDA CG 150 TORRETA NSU,20.56,0.00,
1037/00033-038,ARBOL DE LEVAS GILERA SMASH/MAX 110 CORTO NSU,5.44,0.00,
1037/00033-077,ARBOL DE LEVAS GILERA SMASH/MAX 110 CORTO NSU,5.44,0.00,
1037/00038-038,ARBOL DE LEVAS H.TORNADO (ADMISION/ESCAPE)C/CORONA NSU,23.84,0.00,
1037/00040-038,ARBOL DE LEVAS HONDA XL 125 BRASIL NX150/CBX-150 NSU,9.53,0.00,
1037/00051-038,ARBOL DE LEVAS HONDA WAVE NSU,6.54,0.00,
1037/00070-038,ARBOL DE LEVAS YAMAHA YBR 125 NSU,8.65,0.00,
1037/00100-038,ARBOL DE LEVAS YAMAHA FZ 16 NSU,10.81,0.00,
1037/00200-038,ARBOL DE LEVAS YAMAHA NEW CRYPTON NSU,7.21,0.00,
1037/00200-077,ARBOL DE LEVAS YAMAHA NEW CRYPTON NSU,7.21,0.00,
1039,AROS JUEGO 2T,,,
1039/01001-575,ARO MORINI 50  025 YAMASIDA/KIM,0.00,7651.59,
1039/01002-575,ARO MORINI 50  050 YAMASIDA/KIM,0.00,7651.59,
1039/01003-575,ARO MORINI 50  075 YAMASIDA/KIM,0.00,7651.59,
1039/02001-022,ARO DAELIM LIBERTY YAMAHA JOG 025 P/PISTON IMP. YAMASIDA,1.11,0.00,
1039/02002-022,ARO DAELIM LIBERTY YAMAHA JOG 050 P/PISTON IMP. YAMASIDA,1.11,0.00,
1039/02003-022,ARO DAELIM LIBERTY YAMAHA JOG 075 P/PISTON IMP. YAMASIDA,1.11,0.00,
1039/02004-022,ARO DAELIM LIBERTY YAMAHA JOG 100 P/PISTON IMP. YAMASIDA,1.11,0.00,
1039/02005-022,ARO DAELIM LIBERTY YAMAHA JOG 125 P/PISTON IMP. YAMASIDA,1.11,0.00,
1039/02500-055,ARO DEI 50 CH STD NSU,1.82,0.00,
1039/02501-055,ARO DEI 50 CH 0.25 NSU,1.82,0.00,
1039/02502-055,ARO DEI 50 CH 0.50 NSU,1.82,0.00,
1039/02503-055,ARO DEI 50 CH 0.75 NSU,1.82,0.00,
1039/02504-055,ARO DEI 50 CH 1.00 NSU,1.82,0.00,
1039/03008-575,ARO GARELLI NOI 50 200 YAMASIDA/KIM,0.00,7651.59,
1039/05007-575,ARO HERO PUCH 50  175 YAMASIDA/KIM,0.00,7651.59,
1039/05008-575,ARO HERO PUCH 50  200 YAMASIDA/KIM,0.00,7651.59,
1039/06002-020,ARO HONDA ELITE 150 050 TW.,3.31,0.00,
1039/06003-020,ARO HONDA ELITE 150 075  TW.,3.31,0.00,
1039/06004-575,ARO HONDA ELITE 150 100 YAMASIDA/KIM,0.00,7651.59,
1039/07001-020,ARO HONDA ELITE 50 025 TW.,3.31,0.00,
1039/08000-575,ARO HONDA NC 50 CC. EXPRESS  STD YAMASIDA/KIM,0.00,7651.59,
1039/08001-575,ARO HONDA NC 50 CC. EXPRESS 025 YAMASIDA/KIM,0.00,7651.59,
1039/08002-575,ARO HONDA NC 50 CC. EXPRESS 050 YAMASIDA/KIM,0.00,7651.59,
1039/08003-575,ARO HONDA NC 50 CC. EXPRESS 075 YAMASIDA/KIM,0.00,7651.59,
1039/08004-575,ARO HONDA NC 50 CC. EXPRESS 100 YAMASIDA/KIM,0.00,7651.59,
1039/08005-575,ARO HONDA NC 50 CC. EXPRESS 125 YAMASIDA/KIM,0.00,7651.59,
1039/08006-575,ARO HONDA NC 50 CC. EXPRESS 150 YAMASIDA/KIM,0.00,7651.59,
