Articulo,Descripcion,"Lista IMP.
U$S DÓLAR","Lista NAC.
$ PESOS",
1342,COMANDOS MANIJA FRENO C/B,,,
1342/00005-022,COMANDO MANIJA DE FRENO GILERA SMASH C/BOMBA NSU,12.22,0.00,
1342/00005-038,COMANDO MANIJA DE FRENO GILERA SMASH C/BOMBA NSU,11.90,0.00,
1342/00008-038,BOMBA DE FRENO REPARACION GILERA SMASH NSU,0.75,0.00,
1342/00009-022,BOMBA DE FRENO TRAS. COMPLETA UNIVERSAL NSU,11.53,0.00,
1342/00011-022,BOMBA DE FRENO UNIVERSAL C/CAB.MOVIBLE DORADA NSU,11.53,0.00,
1342/00012-022,BOMBA DE FRENO UNIVERSAL TRAS.CAB./MOVIL NSU,8.79,0.00,
1342/00012-038,BOMBA DE FRENO UNIVERSAL TRAS.CAB./MOVIL NSU,10.21,0.00,
1342/00013-038,BOMBA DE FRENO UNIVERSAL TRAS.CAB./FIJA NSU,9.18,0.00,
1342/00020-038,COMANDO MANIJA DE FRENO UNIV.C/BOMBA Y SOP.RECTANG NSU,15.00,0.00,
1342/00021-022,COMANDO MANIJA DE FRENO C/BOMBA SUZUKI EN125 NSU,9.26,0.00,
1342/00021-038,COMANDO MANIJA DE FRENO C/BOMBA SUZUKI EN125 NSU,9.27,0.00,
1342/00025-077,COMANDO MANIJA DE FRENO C/CALIP.MOTOMEL CUSTOM/ZAN NSU,46.93,0.00,
1342/00040-077,COMANDO MANIJA FRENO C/BOMBA/CALIPER ZANELLA RX150 NSU,35.13,0.00,
1342/00050-022,COMANDO MANIJA FRENO A DISCO UNIVERSAL RECTANGULAR NSU,10.44,0.00,
1342/00070-077,COMANDO MANIJA FRENO C/BOMBA MOTOMEL MOTARD 200 NSU,13.13,0.00,
1342/00075-038,COMANDO MANIJA FRENO C/BOMBA MOTOMEL SKUA 150/200/ NSU,10.05,0.00,1
1342/00080-077,COMANDO MANIJA FRENO DELC/BOMBA/CALIPER HONDACR250 NSU,38.16,0.00,
1342/00100-038,COMANDO MANIJA FRENO C/BOMBA BETA1105/FUTURA/WAVE NSU,8.69,0.00,1
1342/00115-022,COMANDO MANIJA FRENO C/BOMBA HONDA CBX 250 NSU,10.13,0.00,
1342/00120-038,COMANDO MANIJA FRENO C/BOMBA HONDA STORM NSU,9.56,0.00,1
1342/00130-038,COMANDO MANIJA FRENO C/BOMBA UNIVERSAL 125/150 NSU,11.78,0.00,
1342/00140-038,COMANDO MANIJA C/BOMBA HONDA CB400/CB250 NIGHTWAK NSU,10.02,0.00,
1342/00155-038,COMANDO MANIJA FRENO C/BOMBA YAMAHA FZ 16 NEW NSU,11.41,0.00,
1342/00160-038,COMANDO MANIJA FRENO C/BOMBA CG125/TITAN2000/150 NSU,9.98,0.00,1
1342/00182-038,COMANDO MAN FRENO C/BOMBA H.CG/TITAN ESP.R.DER.8MM NSU,8.94,0.00,
1342/00190-038,COMANDO MANIJA FRENO C/BOMBA GILERA VC 150 CUSTOM NSU,10.99,0.00,
1342/00195-022,COMANDO MANIJA FRENO C/BOMBA ROUSER NS200 NSU,9.91,0.00,
1342/00196-022,BOMBA DE FRENO TRAS. BAJAJ ROUSER NS200 NSU,10.10,0.00,
1342/00220-038,COMANDO MANIJA FRENO C/BOMBA YAMAHA YBR CHINA NSU,11.37,0.00,
1342/00250-022,COMANDO MANIJA FRENO C/BOMBA YAMAHA FZ16 NSU,11.16,0.00,
1342/00255-038,BOMBA DE FRENO REPARACION YAMAHA YBR 125 NSU,0.78,0.00,
1342/00260-038,BOMBA DE FRENO REPARACION SUZUKI EN 125 NSU,0.75,0.00,
1343,COMANDOS PUÑOS,,,
1343/00032-150,PUÑOS HONDA BIZ 100 x JGO. CROMOFORTE,2.73,0.00,
1343/00038-150,PUÑOS HONDA TITAN 150 NEGRO C/COM.ACEL.xJGO CROMOFORTE,3.55,0.00,
1343/00039-150,PUÑOS HONDA TITAN 150 xJGO. CROMOFORTE,2.96,0.00,
1343/00045-150,PUÑOS HONDA TITAN 2000 x JGO. CROMOFORTE,2.84,0.00,
1343/01000-038,PUÑOS XL-10 x JGO NEGRO NSU,2.06,0.00,
1343/02761-038,PUÑOS XL-276B xJGO.ROJO NSU,6.33,0.00,
1343/02762-038,PUÑOS XL-276B xJGO. AZUL NSU,6.33,0.00,
1343/02801-038,PUÑOS XL-280B xJGO. ROJO NSU,5.11,0.00,
1343/02802-038,PUÑOS XL-280B xJGO. AZUL NSU,5.11,0.00,
1343/02803-038,PUÑOS XL-280B xJGO. NEGRO NSU,5.11,0.00,
1343/02804-038,PUÑOS XL-280K xJGO. NEGRO NSU,4.49,0.00,
1343/02805-038,PUÑOS XL-280K xJGO. ROJO NSU,4.49,0.00,
1343/02806-038,PUÑOS XL-280-8 xJGO. NEGRO NSU,4.49,0.00,
1343/02807-038,PUÑOS XL-280-8 xJGO. ORO NSU,4.49,0.00,
1343/03100-560,PUÑOS STREET x JGO. NEGRO MDA,0.00,8754.10,
1343/03101-560,PUÑOS STREET x JGO. ROJO MDA,0.00,8754.10,
1343/03102-560,PUÑOS STREET x JGO. AZUL MDA,0.00,8754.10,
1343/03104-560,PUÑOS STREET x JGO. GRIS MDA,0.00,8754.10,
1343/03200-560,PUÑOS CROSS NEGRO x JGO. MDA,0.00,8754.10,
1343/03201-560,PUÑOS CROSS ROJO x JGO. MDA,0.00,8754.10,
1343/03202-560,PUÑOS CROSS AZUL x JGO. MDA,0.00,8754.10,
1343/03203-560,PUÑOS CROSS LILA x JGO. MDA,0.00,8754.10,
1343/03300-560,PUÑOS GRIPS NEGRO x JGO. MDA,0.00,3070.01,
1343/03400-560,PUÑOS CICLO/SCOOTER NEGRO x JGO. MDA,0.00,6208.99,
1343/03401-560,PUÑOS CICLO/SCOOTER ROJO x JGO. MDA,0.00,6208.99,
1343/03402-560,PUÑOS CICLO/SCOOTER AZUL x JGO. MDA,0.00,6208.99,
1343/03403-560,PUÑOS CICLO/SCOOTER LILA x JGO. MDA,0.00,6208.99,
1343/03404-560,PUÑOS CICLO/SCOOTER GRIS x JGO. MDA,0.00,6208.99,
1343/03600-560,PUÑOS SUPERBIKE NEGRO x JGO. MDA,0.00,8754.10,
1343/03601-022,PUÑOS IMP.CUSTOM ESPONJA (CORTO) NEG. x JGO. NSU,2.73,0.00,
1343/03602-560,PUÑOS SUPERBIKE ROJO x JGO. MDA,0.00,8754.10,
1343/03606-560,PUÑOS SUPERBIKE MARRON x JGO. MDA,0.00,8754.10,
1343/03700-560,PUÑOS PROGRESS NEGRO x JGO. MDA,0.00,8754.10,
1343/03701-560,PUÑOS PROGRESS ROJO x JGO. MDA,0.00,8754.10,
1343/03702-560,PUÑOS PROGRESS AZUL x JGO. MDA,0.00,8754.10,
1343/03806-560,PUÑOS SUPERBIKE CUATRICICLO NEGRO X JGO. MDA,0.00,10450.98,
1343/03900-560,PUÑOS MOTO LARGO (TITAN/N.HAWK/600) x JGO. MDA,0.00,3401.14,
1343/03990-560,PUÑOS HONDA TITAN CROM/NEGRO xJGO. MDA,0.00,7491.71,
1343/04000-560,PUÑOS TUNNING NEGRO PUNTAS CROMADAS X JGO. MDA,0.00,10427.91,
1343/04200-560,PUÑOS BARREL 130MM NEGRO xJGO. MDA,0.00,11195.16,
1343/04207-560,PUÑOS BARREL 130MM MARRON xJGO MDA,0.00,11195.16,
1343/04220-560,PUÑOS BARREL 130MM CARAMELO xJGO. MDA,0.00,11195.16,
1343/04300-560,PUÑOS STYLER NEGRO C/PUNTERA xJGO. MDA,0.00,13784.71,
1343/08810-038,PUÑOS NEGRO CUSTOM x JGO. J-051 NSU,2.02,0.00,
1343/08900-038,PUÑOS ESPIGADO NEGRO xJGO. J-193 NSU,3.80,0.00,
1343/08910-038,PUÑOS ESPIGADO PLATA xJGO. J-194 NSU,3.84,0.00,
1343/08960-038,PUÑOS LINEA PLATA xJGO. J-197 NSU,3.93,0.00,
1343/08970-038,PUÑOS AZUL NEGRO x JGO. J-214 NSU,3.78,0.00,
1343/09000-038,PUÑOS ACERO NEGRO xJGO. J-214-6 NSU,3.78,0.00,
1343/09060-038,PUÑOS NEGRO YOSHIMURA xJGO. J311-2 NSU,2.11,0.00,
1343/09090-038,PUÑOS PLATA NEGRO xJGO. J-324-4 NSU,4.04,0.00,
1343/51006-022,PUÑOS J098 NEGRO JGO. NSU,4.82,0.00,
1343/64006-038,PUÑOS 1702 NEGRO JGO. J310-1 NSU,2.93,0.00,
1343/66000-022,PUÑOS ZX-487-43 BLANCO JGO. NSU,4.96,0.00,
1343/66010-022,PUÑOS ZX-487-43 ROJO JGO. NSU,5.13,0.00,
1343/66020-022,PUÑOS ZX-487-43 AZUL JGO. NSU,5.13,0.00,
1343/66030-022,PUÑOS ZX-487-43 NARANJA JGO. NSU,5.13,0.00,
1343/67000-022,PUÑOS ZX-476-37 NEGRO PUNTERA CROMO JGO. NSU,4.09,0.00,
1343/67100-022,PUÑOS ZX-420-2 NEGRO JGO. NSU,3.67,0.00,
1343/70250-077,PUÑOS MOTOMEL MOTARD 200 xJGO NSU,2.44,0.00,
1343/71000-038,PUÑOS UNIVERSAL (NSU) AMARILLOxJGO (120) NSU,2.60,0.00,
1343/71002-038,PUÑOS UNIVERSAL (NSU) AMARILLOxJGO (130) NSU,2.73,0.00,
1343/72000-022,PUÑOS UNIVERSAL AZUL x JGO. (ZX-B545-50) NSU,5.22,0.00,
1343/72010-022,PUÑOS UNIVERSAL PLATA x JGO. (ZX-B545-50) NSU,5.22,0.00,
1343/72020-022,PUÑOS UNIVERSAL ORO x JGO. (ZX-B545-50) NSU,5.22,0.00,
1343/72030-022,PUÑOS UNIVERSAL ROJO x JGO. (ZX-B545-50) NSU,5.22,0.00,
1343/73000-022,PUÑOS UNIVERSAL AZUL x JGO. (ZX-B422-47) NSU,5.22,0.00,
1343/73010-022,PUÑOS UNIVERSAL PLATA x JGO. (ZX-B422-47) NSU,5.09,0.00,
1343/73020-022,PUÑOS UNIVERSAL ORO x JGO. (ZX-B422-47) NSU,5.22,0.00,
1343/73030-022,PUÑOS UNIVERSAL ROJO x JGO. (ZX-B422-47) NSU,5.22,0.00,
1343/74000-022,PUÑOS UNIVERSAL AZUL x JGO. (ZX-B545-29) NSU,5.84,0.00,
1343/74010-022,PUÑOS UNIVERSAL PLATA x JGO. (ZX-B545-29) NSU,5.93,0.00,
1343/74020-022,PUÑOS UNIVERSAL ORO x JGO. (ZX-B545-29) NSU,5.84,0.00,
1343/74030-022,PUÑOS UNIVERSAL ROJO x JGO. (ZX-B545-29) NSU,5.84,0.00,
1343/75000-022,PUÑOS CROSS ROJO x JGO. (ZX-B535) NSU,2.39,0.00,
1343/75010-022,PUÑOS CROSS AZUL x JGO. (ZX-B535) NSU,2.39,0.00,
1343/75020-022,PUÑOS CROSS NARANJA x JGO. (ZX-B535) NSU,1.82,0.00,
1343/75030-022,PUÑOS CROSS ROSA x JGO. (ZX-B535) NSU,2.39,0.00,
1343/75040-022,PUÑOS CROSS VERDE x JGO. (ZX-B535) NSU,2.39,0.00,
1343/75050-022,PUÑOS CROSS AMARILLO x JGO. (ZX-B535) NSU,1.82,0.00,
1343/75060-022,PUÑOS CROSS VIOLETA x JGO. (ZX-B535) NSU,1.62,0.00,
1343/75070-022,PUÑOS CROSS BLANCO x JGO. (ZX-B535) NSU,1.82,0.00,
1343/76001-152,PUÑOS CIRCUIT I ROJO x JGO. CIRCUIT,7.27,0.00,
1343/76002-152,PUÑOS CIRCUIT I AZUL x JGO. CIRCUIT,6.30,0.00,
1343/76004-152,PUÑOS CIRCUIT I GRIS x JGO. CIRCUIT,6.13,0.00,
1343/76101-152,PUÑOS CIRCUIT II ROJO x JGO. CIRCUIT,10.91,0.00,
1343/76102-152,PUÑOS CIRCUIT II AZUL x JGO. CIRCUIT,9.22,0.00,
1343/76104-152,PUÑOS CIRCUIT II GRIS x JGO. CIRCUIT,7.99,0.00,
1343/76105-152,PUÑOS CIRCUIT III NEGRO x JGO. CIRCUIT,10.03,0.00,
1343/76200-152,PUÑOS CIRCUIT III BLANCO x JGO. CIRCUIT,7.85,0.00,
1343/76302-152,PUÑOS CIRCUIT COBRA II AZUL x JGO. CIRCUIT,7.91,0.00,
1343/76400-152,PUÑOS CIRCUIT IV NEGRO x JGO. CIRCUIT,11.66,0.00,
1343/76405-152,PUÑOS CIRCUIT IV BLANCO x JGO. CIRCUIT,7.99,0.00,
1343/76600-152,PUÑOS CIRCUIT KIRA LOCK ON GRIS x JGO. CIRCUIT,40.20,0.00,
1343/76601-152,PUÑOS CIRCUIT KIRA LOCK ON NEGRO/GRIS x JGO. CIRCUIT,40.20,0.00,
1343/76704-152,PUÑOS CIRCUIT V NEGRO/GRIS xJGO. CIRCUIT,14.98,0.00,
1343/76705-152,PUÑOS CIRCUIT V NEGRO/BLANCO x JGO. CIRCUIT,14.98,0.00,
1343/76706-152,PUÑOS CIRCUIT V NEGRO/AMARILLO x JGO. CIRCUIT,14.72,0.00,
1343/76709-152,PUÑOS CIRCUIT V NEGRO/CELESTE x JGO. CIRCUIT,14.72,0.00,
1343/76801-152,PUÑOS INTERLAGOS ROJO x JGO. CIRCUIT,6.84,0.00,
1343/76802-152,PUÑOS INTERLAGOS AZUL x JGO. CIRCUIT,6.73,0.00,
1343/76804-152,PUÑOS INTERLAGOS GRIS x JGO. CIRCUIT,6.40,0.00,
1343/77001-152,PUÑOS JUPITER RACING NEGRO/ROJO xJGO. CIRCUIT,16.97,0.00,
1343/77004-152,PUÑOS JUPITER RACING NEGRO/GRIS xJGO. CIRCUIT,14.99,0.00,
1343/77005-152,PUÑOS JUPITER RACING NEGRO/BLANCO xJGO. CIRCUIT,14.99,0.00,
1343/77006-152,PUÑOS JUPITER RACING NEGRO/AMARILLO xJGO. CIRCUIT,14.96,0.00,
1343/77007-152,PUÑOS JUPITER RACING NEGRO/NARANJA xJGO. CIRCUIT,14.99,0.00,
1343/77008-152,PUÑOS JUPITER RACING NEGRO/VERDE xJGO. CIRCUIT,14.96,0.00,
1343/77009-152,PUÑOS JUPITER RACING NEGRO/CELESTE xJGO. CIRCUIT,14.99,0.00,
1343/77011-152,PUÑOS JUPITER RACING AZUL/BLANCO xJGO. CIRCUIT,16.97,0.00,
1343/77012-152,PUÑOS JUPITER RACING ROJO/BLANCO xJGO. CIRCUIT,14.96,0.00,
1345,COMANDOS REGISTRO CABLE,,,
1345/00040-621,REGISTRO CABLE FRENO 8 MM. X10 UNID. .,0.00,10961.13,
1347,COMANDOS SOPORTE MANILLAR,,,
1347/00026-515,SOPORTE ESPEJO GILERA SMASH 110 x10 unid. BUHO,0.00,18575.60,
1347/00029-038,SOPORTE DER. ESP.10 MM. CROMADO HONDA DAX C/MANIJA NSU,4.19,0.00,
1347/00029-077,SOPORTE DER. ESP.10 MM. CROMADO HONDA DAX C/MANIJA NSU,4.20,0.00,1
1347/00031-022,SOPORTE IZQ.MOTOMEL CUSTOM 150 C/BULBO EMB.CROMADO NSU,4.33,0.00,1
1347/00033-022,SOPORTE IZQ. ESP. 10MM C/MANIJA NEGRA UNIV. NSU,3.90,0.00,
1347/00037-621,SOPORTE ESPEJO GILERA SMASH REFORZ.x5unid. .,0.00,7471.80,
1347/00051-022,COMANDO ARR. HONDA CBX 200 M/VIEJO NSU,5.63,0.00,
1347/00052-022,COMANDO ARR. HONDA CBX250 TORNADO NSU,7.41,0.00,
1347/00053-022,COMANDO LUCES IZQ.HONDA CBX 250 TWISTER NSU,7.85,0.00,
1347/00080-022,MANIJA SOPORTE EMBRAGUE BAJAJ ROUSER NS200 3CABLES NSU,5.25,0.00,5
1347/00139-022,"COMANDO LUCES, GIRO Y BOCINA HONDA STORM L.IZQ. NSU",5.56,0.00,
1347/00141-022,"COMANDOLUCES,GIRO YBOCINA YAMAHA YBR125BRASIL L.IZ NSU",4.86,0.00,
1347/00141-038,"COMANDOLUCES,GIRO YBOCINA YAMAHA YBR125BRASIL L.IZ NSU",4.86,0.00,
1347/00144-022,"COMANDO ARRANQUE,LUCES YAMAHA CRYPTON M/N DER. NSU",7.64,0.00,
1347/00145-022,"COMANDO LUCES,GIRO Y BOCINA HONDA CG 150 L.IZQ. NSU",7.43,0.00,5
1347/00146-022,"COMANDO LUCES,GIRO,CEB,BOCINA YAMAHA CRYPTON L.IZQ NSU",7.10,0.00,
1347/00148-022,"COMANDO LUCES,GIRO Y BOCINA HONDA XR 250 TORNADO NSU",10.14,0.00,
1347/00149-022,"COMANDO LUCES,GIRO,CEB,BOC,MONDIAL HD254 L.IZQ.NEG NSU",9.70,0.00,
1347/00150-038,SOPORTE ESPEJO CORTO HONDA BIZZ 10MM DER. NSU,1.48,0.00,
1347/00152-022,SOPORTE MANIJA DE EMBRAGUE YAMAHA YBR 125 NSU,4.40,0.00,5
1347/00153-022,SOPORTE MANIJA EMBRAGUE HONDA TORNADO NSU,2.64,0.00,
1347/00154-022,MANIJA EMBRAGUE HONDA TORNADO C/SOPORTE NSU,4.95,0.00,4
1347/00160-022,SOPORTE ESPEJO LARGO HONDA WAVE 10MM.DER. NSU,1.73,0.00,
1347/00170-022,COMANDO DE LUCES IZQ.YAMAHA NEW CRYPTON NSU,7.11,0.00,
1347/00175-022,COMANDO DERECHO YAMAHA NEW CRYPTON (PULSADOR) NSU,4.91,0.00,
1347/00184-022,COMANDO LUCES GIRO Y BOCINA C/MANIJA SUZUKI GN 125 NSU,6.51,0.00,
1347/00224-022,SOPORTE ESP. EMBRAGUE/FRENO YAMAHA/HONDA xJGO NSU,4.96,0.00,
1347/00300-038,COMANDO LUCES HONDA DAX110 LUCES/GIRO/BOCINA NSU,5.30,0.00,
1347/00310-038,COMANDO LUCES HONDA DAX110 LUCES/BALIZA/ARR.CROMAD NSU,5.30,0.00,
1347/00310-038,COMANDO CUSTOM,,,1
1347/00361-022,COMANDO SOPORTE MANIJA MOTOMEL SKUA/S2 AZAPATAxJGO NSU,7.96,0.00,10
1347/00362-022,COMANDO MANIJA EMBRAGUEC/SOP.ESPEJO SKUA150/200/S2 NSU,3.24,0.00,
1347/00368-077,COMANDO LUCES/GIRO/BOCINA MOTOMEL DAKAR 200 NSU,4.79,0.00,
1347/00370-038,COMANDO ARRANQUE MOTOMEL SKUA NSU,2.65,0.00,10
1347/00380-038,COMANDO MOTOMEL SKUA 150 LUCES/GIRO/BOCINA NSU,6.40,0.00,2
1347/00401-022,COMANDO LUCES Y ARR. YAMAHA YBR125 BRASIL L.DER NSU,3.94,0.00,
1347/00401-038,COMANDO LUCES Y ARR. YAMAHA YBR125 BRASIL L.DER NSU,3.94,0.00,
1347/00418-022,COMANDO ARR.LUCES PARADA MONDIALHD254 L.DER NEGRO NSU,4.73,0.00,
1347/00421-022,COMANDO ARRANQUE Y PARADA HONDAXR250 TORNADO L.DER NSU,3.96,0.00,
1347/00510-038,COMANDO LUCES ZANELLA SEXY LUCES/ARRANQUE CR060 NSU,3.73,0.00,
1347/00516-038,COMANDO HONDA STORM SET LUCES/BOCINA/ARRANQUE NSU,10.15,0.00,
1347/00525-038,COMANDO ARR. BAJAJ ROUSER NS200/150/160 DER. NSU,13.42,0.00,
1347/00526-038,COMANDO BAJAJ ROUSER NS200/150/160 LUCES IZQ.. NSU,13.50,0.00,
1347/00528-022,COMANDO MANIJA EMBRAGUE BAJAJ ROUSER 135 2CABLES NSU,4.88,0.00,
1347/00530-038,COMANDO LUCES BETA BK150 LUCES/GIRO/BOCINA CR057 NSU,4.40,0.00,
1347/00535-022,COMANDO HONDA WAVE BOCINA/GIRO/LUCES NSU,7.85,0.00,
1347/00540-038,COMANDO HONDA WAVE/CG125 ARRANQUE CR017 NSU,1.94,0.00,5
1347/00545-038,COMANDO IZQ.LUCES BOCINA GIROS HONDA CG 150 NEW NSU,9.36,0.00,
1347/00550-022,COMANDO LUCES ZANELLA RX 150 DER/ARRAN/LUZ 8 PINES NSU,4.25,0.00,
1347/00550-038,COMANDO LUCES ZANELLA RX 150 DER/ARRAN/LUZ 8 PINES NSU,4.32,0.00,
1347/00560-022,COMANDO DE LUCES ZANELLA RX 150 IZQ BOC/GIRO/LUZ NSU,5.12,0.00,3
1347/00565-022,COMANDO DE LUCES ZANELLA RX 150 9 PINES DER. NSU,4.04,0.00,5
1347/00565-038,COMANDO DE LUCES ZANELLA RX 150 9 PINES DER. NSU,4.04,0.00,
1347/00620-022,SOPORTE DE ESPEJO ZANELLA RX 150 DER/IZQ  x 2UNID. NSU,3.75,0.00,2
1347/00800-621,REDUCTOR ADAPTADOR ESPEJO 8 (M/D) A 10(H/D)x2JGOS .,0.00,5019.66,
1347/00802-621,REDUCTOR ADAPTADOR ESPEJO 10 (M/D) A 8(H/D)x2JGOS .,0.00,5019.66,
1347/00805-515,REDUCTOR ADAPTADOR ESPEJO 8 (M/D) A 8 (H/D) BUHO,0.00,1314.05,
1347/00900-515,REDUCTOR ADAPTADOR ESPEJO 10 (M/D) A 10 (H/D) BUHO,0.00,1314.05,
1347/00905-515,REDUCTOR ADAPTADOR ESPEJO 10 (M/I) A 10 (H/D) BUHO,0.00,1314.05,
1347/00910-515,REDUCTOR ADAPTADOR ESPEJO 8 (M/D) A 10 (H/D) BUHO,0.00,1314.05,
1347/01010-038,SOPORTE MANIJA EMBRAGUE HONDA CG FAN NSU,1.50,0.00,
1347/01012-038,SOPORTE MANIJA EMBRAGUE HONDA CG 150 NEW TITAN NSU,1.50,0.00,
1347/01020-038,SOPORTE MANIJA EMBRAGUE TITAN 96/99 NSU,2.63,0.00,
1347/01040-038,SOP. MANIJA EMBRAGUE HONDA NX 200/XL/XLR125 NSU,2.02,0.00,
1347/01050-038,SOPORTE MANIJA FRENO HONDA XLR /NXR BROSS NSU,2.16,0.00,
1347/01080-022,SOPORTE ESPEJO YAMAHA FZ 16 C/BULBO NSU,1.96,0.00,
1347/01090-038,SOPORTE FRENO C/ MANIJA GILERA SMASH NSU,3.88,0.00,
1347/01100-038,SOPORTE  EMBRAGUE C/MANIJA ZANELLA RX150 NSU,4.88,0.00,22
1347/01110-038,COMANDO LUCES IZQUIERDO HONDA XR 125L NSU,5.79,0.00,
1347/01200-022,COMANDO LUCES Y ARRANQUE SUZUKI GN125 NSU,6.94,0.00,
1353,COMANDOS TUBO ACELERADOR,,,
1353/00050-566,TUBO ACELERADOR DOBLE YAMAHA FZ 16 VC,0.00,3610.15,
1354,CORONA DISTRIBUCION,,,
1354/00005-038,CORONA DE DISTRIBUCION GILERA SMASH Z-32 3AGUJEROS NSU,0.89,0.00,
1354/00010-022,CORONA DE DISTRIBUCION GUERRERO 50/70/100/ECONOZ32 NSU,1.36,0.00,
1354/00020-038,CORONA DE DISTRIBUCION HONDA C100 BIZ Z-28 3AGUJER NSU,0.60,0.00,
1354/00038-077,CORONA DE DISTRIBUCION HONDA WAVE 110S Z-32 NSU,2.69,0.00,
1354/00039-077,CORONA DE DISTRIBUCION HONDA CG 150 NEW (34T) NSU,2.38,0.00,
1354/00090-022,CORONA DE DISTRIBUCION MOT.CUSTOM 200/CB200 32D.2A NSU,0.89,0.00,
1354/00120-077,CORONA DE DISTRIBUCION YAMAHA YBR125 Z-34 NSU,2.42,0.00,
1354/00130-038,CORONA DE DISTRIBUCION YAMAHA YBR125/XTZ125 Z-36 NSU,2.68,0.00,
1355,CORONA PIÑON KIT,,,
1355/00002-128,CORONA/PIÑON HONDA CG TODAY 428-Z43/14 .,5.43,0.00,6
1355/00002-138,CORONA/PIÑON HONDA CG TODAY 428-Z43/14 .,4.64,0.00,
1355/00006-128,CORONA/PIÑON HONDA CG TODAY 428-43/14 C/PROTECTOR .,5.13,0.00,
1355/00052-128,CORONA/PIÑON HONDA CB190R Z45/14 C/PROTECTOR .,5.09,0.00,
1355/00054-128,CORONA/PIÑON HONDA  CG TITAN 150 Z43/16 C/PROTEC. .,4.70,0.00,6
1355/00054-138,CORONA/PIÑON HONDA  CG TITAN 150 Z43/16 C/PROTEC. .,5.30,0.00,
1355/00056-128,CORONA/PIÑON HONDA 100 NF WAVE Z36/14 .,3.98,0.00,
1355/00058-128,CORONA/PIÑON HONDA WAVE 110S Z37/14 .CAD 428,,,3
1355/00060-128,CORONA/PIÑON HONDA XR150 Z49/17,,,0
1355/00110-128,CORONA/PIÑON GILERA SMASH/FUTURA 110 Z-36/14 .,3.17,0.00,
1355/00110-138,CORONA/PIÑON GILERA SMASH/FUTURA 110 Z-36/14 .,3.68,0.00,
1355/00120-128,CORONA/PIÑON HONDA BIZ Z35/15 .,4.24,0.00,
1355/00121-128,CORONA/PIÑON GILERA SMASH Z-35/15 S/REBAJE .,3.17,0.00,44
1355/00121-138,CORONA/PIÑON GILERA SMASH Z-35/15 S/REBAJE .,3.75,0.00,
1355/00124-128,CORONA/PIÑON GUERRERO TRIP Z35/14 .,4.26,0.00,
1355/00124-138,CORONA/PIÑON GUERRERO TRIP Z35/14 .,4.25,0.00,
1355/00125-128,CORONA/PIÑON GILERA SMASH Z36/14 C/REBAJE .,3.56,0.00,
1355/00125-138,CORONA/PIÑON GILERA SMASH Z36/14 C/REBAJE .,3.75,0.00,
1355/00152-128,CORONA/PIÑON HONDA CG TITAN 2000 Z-44/15 .,5.11,0.00,3
1355/00158-128,CORONA/PIÑON HONDA STORM 125 Z38/15 BOMBEE .,3.88,0.00,
1355/00158-138,CORONA/PIÑON HONDA STORM 125 Z38/15 BOMBEE .,4.26,0.00,4
1355/00160-022,CORONA/PIÑON YAMAHA V80 Z38/14 NSU,3.89,0.00,
1355/00160-084,CORONA/PIÑON YAMAHA V80 Z38/14 NSU,3.36,0.00,
1355/00209-128,CORONA/PIÑON HONDA CB190R Z45/14 .,6.30,0.00,
1355/00209-138,CORONA/PIÑON HONDA CB190R Z45/14 .,6.30,0.00,6
1355/00213-128,CORONA/PIÑON HONDA CBX250 Z37/13 C/PROTECTOR .,7.22,0.00,4
1355/00214-128,CORONA/PIÑON HONDA CBF250 NEW TWISTER Z40/13 .,5.07,0.00,11
1355/00230-128,CORONA/PIÑON HONDA CG125-ZANELLA RX150 428-Z38/15 .,3.74,0.00,35
1355/00230-138,CORONA/PIÑON HONDA CG125-ZANELLA RX150 428-Z38/15 .,4.53,0.00,
1355/00260-138,CORONA/PIÑON HONDA XLR125 428-Z50/14 .,5.85,0.00,2
1355/00290-128,CORONA/PIÑON SUZUKI AX100 428-Z42/13 .,5.56,0.00,5
1355/00290-138,CORONA/PIÑON SUZUKI AX100 428-Z42/13 .,5.55,0.00,
1355/00298-128,CORONA/PIÑON SUZUKI AX100 428 Z-44/14 .,4.83,0.00,4
1355/00298-138,CORONA/PIÑON SUZUKI AX100 428 Z-44/14 .,4.83,0.00,
1355/00315-128,CORONA/PIÑON YAMAHA CRYPTON Z-37/15 .,4.13,0.00,7
1355/00315-138,CORONA/PIÑON YAMAHA CRYPTON Z-37/15 .,4.54,0.00,
1355/00320-022,CORONA/PIÑON YAMAHA V80/DX100 420-Z36/15 NSU,3.80,0.00,
1355/00320-084,CORONA/PIÑON YAMAHA V80/DX100 420-Z36/15 NSU,3.36,0.00,
1355/00350-128,CORONA/PIÑON YAMAHA YBR 125 428-Z43/14 .,4.17,0.00,4
1355/00350-138,CORONA/PIÑON YAMAHA YBR 125 428-Z43/14 .,4.32,0.00,
1355/00360-128,CORONA/PIÑON YAMAHA YBR 125 428-Z45/14 .,4.51,0.00,
1355/00405-128,CORONA/PIÑON BAJAJ ROUSER 135 Z43/15 .,4.21,0.00,13
1355/00410-128,CORONA/PIÑON BAJAJ ROUSER 200 Z36/14 .,4.53,0.00,
1355/00410-138,CORONA/PIÑON BAJAJ ROUSER 200 Z36/14 .,6.03,0.00,7
1355/00420-128,CORONA/PIÑON BAJAJ ROUSER 200NS/220 Z39/14 .,4.80,0.00,10
