Codigo,Articulo,Cantidad, Precio Unitario , Importe 
1575/00005-627,JUNTA SILENCIADOR BAJAJ NS200 x10UNID. 18BA1402 JUNTAS ALFA,1," $  11,266.36 "," $  11,266.36 "
1575/00085-627,JUNTA SILENCIADOR MOTOS 110CC x50unid.33HO1002 JUNTAS ALFA,1," $  14,564.51 "," $  14,564.51 "
1575/00087-627,JUNTA SILENCIADOR MOTOS 125CC x50unid.34HO1902 JUNTAS ALFA,1," $  15,785.55 "," $  15,785.55 "
1567/00115-627,JUNTA TAPA EMBRAGUE TWISTER250/TORNADOx10u11HO5610 JUNTAS ALFA,2," $  5,806.49 "," $  11,612.97 "
1620/01200-164,LAMPARA LED BA20D S2 11162 U1M 12V 4.5W YAMASIDAMOTOLED,10," $  3,191.82 "," $  31,918.21 "
1620/01000-164,LAMPARA LED H4/HS1 PT43 11458 U1M 12V.4W. YAMASIDAMOTOLED,10," $  3,191.42 "," $  31,914.16 "
1620/01100-164,LAMPARA LED P15D M5/T19 11163 U1M 12V 4.5W YAMASIDAMOTOLED,10," $  3,192.03 "," $  31,920.32 "
1471/00022-536,LENTE FAROL GIRO TRAS. GILERA SMASH CRISTAL X JGO. AF,3," $  3,344.16 "," $  10,032.47 "
1473/00400-022,LENTE FAROL TRAS. GILERA SMASH CRISTAL/CRISTAL2KIT NSU,2," $  11,737.87 "," $  23,475.74 "
1473/00334-536,LENTE FAROL TRAS. GILERA SMASH ROJO AF,3," $  2,742.70 "," $  8,228.10 "
1473/00401-022,LENTE FAROL TRAS. GILERA SMASH ROJO/AMBAR 2KIT NSU,5," $  9,004.61 "," $  45,023.04 "
1637/00390-022,LLAVE 1 PUNTO UNIVERSAL NSU,5," $  4,310.07 "," $  21,550.33 "
1637/00270-022,LLAVE BOCINA HONDA BIZ/GILERA SMASH NSU,20, $  740.23 ," $  14,804.53 "
1635/00210-038,LLAVE CONTACTO GILERA SUPER M/NUEVO+2CERRADURAS NSU,3," $  19,081.14 "," $  57,243.41 "
1637/00230-022,LLAVE GUIÑO MOTOMEL NSU,20, $  496.69 ," $  9,933.84 "
1637/00260-022,LLAVE LUCES ALTA MOTOMEL NSU,30, $  528.75 ," $  15,862.55 "
1337/01210-022,MANIJA EMBRAGUE/FRENO ZANELLAPATAGONIA/GILERAYL150 NSU,4," $  3,192.64 "," $  12,770.56 "
1341/00294-022,MANIJA FRENO HONDA C100 A ZAPATA NSU,10," $  1,249.65 "," $  12,496.52 "
1337/00010-022,MANIJAS EMBRAGUE/FRENO BAJAJ PULSAR 200 NSU,4," $  3,153.71 "," $  12,614.84 "
